Supplementary Table 1. Isolates used in the study,,,,,,,
,,,,,,,
Name of isolate (tree name),Laboratory number,Accession number,Year of isolation,Continent,Region within continent,Country,Source
10561_2_4_Con3671/3_2011,3671/3,ERR357579,2011,Africa,Central Africa,DRC,Blood
10561_2_5_Con3332/3_2011,3332/3,ERR357580,2011,Africa,Central Africa,DRC,Blood
10561_2_16_Con3632/3_2011,3632/3,ERR357591,2011,Africa,Central Africa,DRC,Blood
10561_2_17_Con3139/3_2010,3139/3,ERR357592,2010,Africa,Central Africa,DRC,Blood
10561_2_21_Con3182/3_2010,3182/3,ERR357596,2010,Africa,Central Africa,DRC,Blood
10561_2_29_Con3157/3_2010,3157/3,ERR357604,2010,Africa,Central Africa,DRC,Blood
10561_2_35_Con3653/3_2011,3653/3,ERR357610,2011,Africa,Central Africa,DRC,Blood
10561_2_48_Con3673/3_2011,3673/3,ERR357623,2011,Africa,Central Africa,DRC,Blood
10561_2_60_Con3143/3_2010,3143/3,ERR357635,2010,Africa,Central Africa,DRC,Blood
10592_2_63_DRC76-1292_1976,76-1292,ERR360511,1976,Africa,Central Africa,DRC,Blood
10593_2_64_Con08-7714_2008,08-7714,ERR360677,2008,Africa,Central Africa,DRC,Blood
10562_2_1_EgyMDUST110_2007,MDUST110,ERR357756,2007,Africa,North Africa,Egypt,Blood
10593_2_4_EgyE00-2388_2000,E00-2388  ,ERR360617,2000,Africa,North Africa,Egypt,Not provided
10593_2_24_EgyE99-2862_1999,E99-2862  ,ERR360637,1999,Africa,North Africa,Egypt,Not provided
10592_2_42_GabE98-2601_1998,E98-2601  ,ERR360490,1998,Africa,West Africa,Gabon,Not provided
10592_2_47_Gui09-4821_2009,09-4821,ERR360495,2009,Africa,West Africa,Guinea,Not provided
10593_2_46_GuiE99-6478_1999,E99-6478  ,ERR360659,1999,Africa,West Africa,Guinea,Not provided
10592_2_77_IvoCoa06-6673_2006,06-6673,ERR360525,2006,Africa,West Africa,Ivory Coast,Not provided
10593_2_20_IvoCoa07-5494_2007,07-5494,ERR360633,2007,Africa,West Africa,Ivory Coast,Not provided
10593_2_73_IvoCoa08-4327_2008,08-4327,ERR360686,2008,Africa,West Africa,Ivory Coast,Not provided
10592_2_40_IvoCoa07-4565_2007,07-4565,ERR360488,2007,Africa,West Africa,IvoryCoast,Not provided
8525_2_54_KenKe378_2008,Ke378 ,ERR212564,2008,Africa,East Africa,Kenya,Blood
8525_3_30_KenKe451_2008,Ke451  ,ERR212636,2008,Africa,East Africa,Kenya,Blood
8525_3_31_KenKe452_2008,Ke452,ERR212637,2008,Africa,East Africa,Kenya,Blood
8525_3_32_KenKe45_2008,Ke453 ,ERR212638,2008,Africa,East Africa,Kenya,Blood
8525_3_33_KenKe454_2008,Ke454,ERR212639,2008,Africa,East Africa,Kenya,Blood
8525_3_34_KenKe455_2008,Ke455,ERR212640,2008,Africa,East Africa,Kenya,Blood
8525_3_37_KenKe458_2008,Ke458 ,ERR212643,2008,Africa,East Africa,Kenya,Blood
8525_3_40_KenKe461_2008,Ke461,ERR212646,2008,Africa,East Africa,Kenya,Blood
8525_3_41_KenKe462_2008,Ke462 ,ERR212647,2008,Africa,East Africa,Kenya,Blood
8525_3_42_KenKe463_2008,Ke463  ,ERR212648,2008,Africa,East Africa,Kenya,Blood
8525_3_45_KenKe466_2008,Ke466 ,ERR212651,2008,Africa,East Africa,Kenya,Blood
8525_3_46_KenKe467_2008,Ke467  ,ERR212652,2008,Africa,East Africa,Kenya,Blood
8525_3_47_KenKe468_2008,Ke468  ,ERR212653,2008,Africa,East Africa,Kenya,Blood
8525_3_48_KenKe469_2008,Ke469  ,ERR212654,2008,Africa,East Africa,Kenya,Blood
8525_3_49_KenKe470_2008,Ke470  ,ERR212655,2008,Africa,East Africa,Kenya,Blood
8525_3_51_KenKe472_2008,Ke472  ,ERR212657,2008,Africa,East Africa,Kenya,Blood
8525_3_53_KenKe474_2008,Ke474  ,ERR212659,2008,Africa,East Africa,Kenya,Blood
8525_3_54_KenKe475_2008,Ke475,ERR212660,2008,Africa,East Africa,Kenya,Blood
8525_3_55_KenKe476_2008,Ke476  ,ERR212661,2008,Africa,East Africa,Kenya,Blood
8525_3_56_KenKe477_2008,Ke477 ,ERR212662,2008,Africa,East Africa,Kenya,Blood
8525_3_58_KenKe479_2008,Ke479 ,ERR212664,2008,Africa,East Africa,Kenya,Blood
8525_3_59_KenKe480_2008,Ke480 ,ERR212665,2008,Africa,East Africa,Kenya,Blood
8525_3_60_KenKe481_2008,Ke481 ,ERR212666,2008,Africa,East Africa,Kenya,Blood
8525_3_61_KenKe482_2008,Ke482,ERR212667,2008,Africa,East Africa,Kenya,Blood
8525_3_71_KenKe492_2001,Ke492,ERR212677,2001,Africa,East Africa,Kenya,Blood
8615_4_29_KenKe062_2004,Ke062  ,ERR217406,2004,Africa,East Africa,Kenya,Blood
10071_8_62_Ken0515_2007,2010K-0515,ERR338131,2007,Africa,East Africa,Kenya,Blood
10071_8_63_Ken0552_2008,2010K-0552,ERR338132,2008,Africa,East Africa,Kenya,Blood
10071_8_64_Ken0527_2007,2010K-0527,ERR338133,2007,Africa,East Africa,Kenya,Blood
10071_8_65_Ken0507_2007,2010K-0507,ERR338134,2007,Africa,East Africa,Kenya,Blood
10071_8_66_Ken0519_2007,2010K-0519,ERR338135,2007,Africa,East Africa,Kenya,Blood
10071_8_67_Ken0533_2008,2010K-0533,ERR338136,2008,Africa,East Africa,Kenya,Blood
10071_8_68_Ken0512_2007,2010K-0512,ERR338137,2007,Africa,East Africa,Kenya,Blood
10071_8_69_Ken0530_2007,2010K-0530,ERR338138,2007,Africa,East Africa,Kenya,Blood
10071_8_70_Ken0553_2008,2010K-0553,ERR338139,2008,Africa,East Africa,Kenya,Blood
10071_8_71_Ken0550_2009,2010K-0550,ERR338140,2009,Africa,East Africa,Kenya,Blood
10071_8_72_Ken0511_2007,2010K-0511,ERR338141,2007,Africa,East Africa,Kenya,Blood
10071_8_74_Ken0539_2008,2010K-0539,ERR338143,2008,Africa,East Africa,Kenya,Blood
10071_8_76_Ken0522_2007,2010K-0522,ERR338145,2007,Africa,East Africa,Kenya,Blood
10071_8_77_Ken0517_2007,2010K-0517,ERR338146,2007,Africa,East Africa,Kenya,Blood
10071_8_78_Ken0548_2008,2010K-0548,ERR338147,2008,Africa,East Africa,Kenya,Blood
10071_8_79_Ken0509_2007,2010K-0509,ERR338148,2007,Africa,East Africa,Kenya,Blood
10071_8_81_Ken0506_2007,2010K-0506,ERR338150,2007,Africa,East Africa,Kenya,Blood
10071_8_82_Ken0554_2008,2010K-0554,ERR338151,2008,Africa,East Africa,Kenya,Blood
10071_8_83_Ken0508_2007,2010K-0508,ERR338152,2007,Africa,East Africa,Kenya,Blood
10071_8_84_Ken0626_2009,2010K-0626,ERR338153,2009,Africa,East Africa,Kenya,Blood
10071_8_88_Ken0524_2007,2010K-0524,ERR338157,2007,Africa,East Africa,Kenya,Blood
10071_8_89_Ken0523_2007,2010K-0523,ERR338158,2007,Africa,East Africa,Kenya,Blood
10071_8_90_Ken0544_2009,2010K-0544,ERR338159,2009,Africa,East Africa,Kenya,Blood
10071_8_91_Ken0545_2008,2010K-0545,ERR338160,2008,Africa,East Africa,Kenya,Blood
10071_8_92_Ken0538_2008,2010K-0538,ERR338161,2008,Africa,East Africa,Kenya,Blood
10071_8_93_Ken0535_2009,2010K-0535,ERR338162,2009,Africa,East Africa,Kenya,Blood
10071_8_94_Ken0534_2008,2010K-0534,ERR338163,2008,Africa,East Africa,Kenya,Blood
10071_8_95_Ken0514_2007,2010K-0514,ERR338164,2007,Africa,East Africa,Kenya,Blood
10071_8_80_Ken0500_2007,2010K-0500,ERR338149,2007,Africa,East Africa,Kenya,Stool
10493_1_1_LibMDUST108_2007,MDUST108,ERR352426,2007,Africa,West Africa,Liberia,Stool
10592_2_48_MadE97-3246_1997,E97-3246  ,ERR360496,1997,Africa,East Africa,Madagascar,Not provided
10592_2_61_Mad80-2002_1980,80-2002,ERR360509,1980,Africa,East Africa,Madagascar,Not provided
10592_2_66_MadE96-12081_1996,E96-12081 ,ERR360514,1996,Africa,East Africa,Madagascar,Not provided
10593_2_1_MadE00-3459_2000,E00-3459  ,ERR360614,2000,Africa,East Africa,Madagascar,Not provided
9475_6_1_Mal1010996_2011,1010996,ERR279098,2011,Africa,Southern Africa,Malawi,Blood
9475_6_2_Mal1014063_2011,1014063,ERR279099,2011,Africa,Southern Africa,Malawi,Blood
9475_6_3_Mal1019695_2011,1019695,ERR279100,2011,Africa,Southern Africa,Malawi,Blood
9475_6_4_Mal1019515_2011,1019515,ERR279101,2011,Africa,Southern Africa,Malawi,Blood
9475_6_5_Mal1021678_2011,1021678,ERR279102,2011,Africa,Southern Africa,Malawi,Blood
9475_6_6_Mal1025912_2011,1025912,ERR279103,2011,Africa,Southern Africa,Malawi,Blood
9475_6_8_Mal1030208_2012,1030208,ERR279105,2012,Africa,Southern Africa,Malawi,Blood
9475_6_9_Mal1008634_2011,1008634,ERR279106,2011,Africa,Southern Africa,Malawi,Blood
9475_6_10_Mal1013486_2011,1013486,ERR279107,2011,Africa,Southern Africa,Malawi,Blood
9475_6_12_Mal1021106_2011,1021106,ERR279109,2011,Africa,Southern Africa,Malawi,Blood
9475_6_13_Mal1021701_2011,1021701,ERR279110,2011,Africa,Southern Africa,Malawi,Blood
9475_6_14_Mal1025691_2011,1025691,ERR279111,2011,Africa,Southern Africa,Malawi,Blood
9475_6_16_Mal1031809_2012,1031809,ERR279113,2012,Africa,Southern Africa,Malawi,Blood
9475_6_17_Mal1007914_2011,1007914,ERR279114,2011,Africa,Southern Africa,Malawi,Blood
9475_6_18_Mal1013305_2011,1013305,ERR279115,2011,Africa,Southern Africa,Malawi,Blood
9475_6_19_Mal1016889_2011,1016889,ERR279116,2011,Africa,Southern Africa,Malawi,Blood
9475_6_20_Mal1018216_2011,1018216,ERR279117,2011,Africa,Southern Africa,Malawi,Blood
9475_6_21_Mal1023407_2011,1023407,ERR279118,2011,Africa,Southern Africa,Malawi,Blood
9475_6_24_Mal1031785_2012,1031785,ERR279121,2012,Africa,Southern Africa,Malawi,Blood
9475_6_25_Mal1007917_2011,1007917,ERR279122,2011,Africa,Southern Africa,Malawi,Blood
9475_6_26_Mal1012911_2011,1012911,ERR279123,2011,Africa,Southern Africa,Malawi,Blood
9475_6_27_Mal1016653_2011,1016653,ERR279124,2011,Africa,Southern Africa,Malawi,Blood
9475_6_28_Mal1020791_2011,1020791,ERR279125,2011,Africa,Southern Africa,Malawi,Blood
9475_6_29_Mal1022981_2011,1022981,ERR279126,2011,Africa,Southern Africa,Malawi,Blood
9475_6_31_Mal1022553_2011,1022553,ERR279128,2011,Africa,Southern Africa,Malawi,Blood
9475_6_32_Mal1030630_2012,1030630,ERR279129,2012,Africa,Southern Africa,Malawi,Blood
9475_6_33_Mal1014451_2011,1014451,ERR279130,2011,Africa,Southern Africa,Malawi,Blood
9475_6_34_Mal1018211_2011,1018211,ERR279131,2011,Africa,Southern Africa,Malawi,Blood
9475_6_35_Mal1016605_2011,1016605,ERR279132,2011,Africa,Southern Africa,Malawi,Blood
9475_6_36_Mal1021854_2011,1021854,ERR279133,2011,Africa,Southern Africa,Malawi,Blood
9475_6_37_Mal1022075_2011,1022075,ERR279134,2011,Africa,Southern Africa,Malawi,Blood
9475_6_39_Mal1032927_2012,1032927,ERR279136,2012,Africa,Southern Africa,Malawi,Blood
9475_6_41_Mal1014383_2011,1014383,ERR279138,2011,Africa,Southern Africa,Malawi,Blood
9475_6_42_Mal1017142_2011,1017142,ERR279139,2011,Africa,Southern Africa,Malawi,Blood
9475_6_43_Mal1020184_2011,1020184,ERR279140,2011,Africa,Southern Africa,Malawi,Blood
9475_6_44_Mal1023267_2011,1023267,ERR279141,2011,Africa,Southern Africa,Malawi,Blood
9475_6_45_Mal1021624_2011,1021624,ERR279142,2011,Africa,Southern Africa,Malawi,Blood
9475_6_46_Mal1024341_2011,1024341,ERR279143,2011,Africa,Southern Africa,Malawi,Blood
9475_6_47_Mal1032463_2012,1032463,ERR279144,2012,Africa,Southern Africa,Malawi,Blood
9475_6_48_MalA53009_2008,A53009,ERR279145,2008,Africa,Southern Africa,Malawi,Blood
9475_6_49_Mal1013803_2011,1013803,ERR279146,2011,Africa,Southern Africa,Malawi,Blood
9475_6_50_Mal1017137_2011,1017137,ERR279147,2011,Africa,Southern Africa,Malawi,Blood
9475_6_51_Mal1019839_2011,1019839,ERR279148,2011,Africa,Southern Africa,Malawi,Blood
9475_6_52_Mal1022401_2011,1022401,ERR279149,2011,Africa,Southern Africa,Malawi,Blood
9475_6_53_Mal1020976_2011,1020976,ERR279150,2011,Africa,Southern Africa,Malawi,Blood
9475_6_54_Mal1023999_2011,1023999,ERR279151,2011,Africa,Southern Africa,Malawi,Blood
9475_6_55_Mal1032281_2012,1032281,ERR279152,2012,Africa,Southern Africa,Malawi,Blood
9475_6_56_MalA53789_2009,A53789,ERR279153,2009,Africa,Southern Africa,Malawi,Blood
9475_6_57_Mal1012752_2011,1012752,ERR279154,2011,Africa,Southern Africa,Malawi,Blood
9475_6_58_Mal1020366_2011,1020366,ERR279155,2011,Africa,Southern Africa,Malawi,Blood
9475_6_59_Mal1019833_2011,1019833,ERR279156,2011,Africa,Southern Africa,Malawi,Blood
9475_6_61_Mal1029975_2012,1029975,ERR279158,2012,Africa,Southern Africa,Malawi,Blood
9475_6_62_Mal1028143_2012,1028143,ERR279159,2012,Africa,Southern Africa,Malawi,Blood
9475_6_63_Mal1032249_2012,1032249,ERR279160,2012,Africa,Southern Africa,Malawi,Blood
9475_6_64_MalD50739_2009,D50739,ERR279161,2009,Africa,Southern Africa,Malawi,Blood
9475_6_65_Mal1012727_2011,1012727,ERR279162,2011,Africa,Southern Africa,Malawi,Blood
9475_6_66_Mal1020059_2011,1020059,ERR279163,2011,Africa,Southern Africa,Malawi,Blood
9475_6_67_Mal1019806_2011,1019806,ERR279164,2011,Africa,Southern Africa,Malawi,Blood
9475_6_68_Mal1018617_2011,1018617,ERR279165,2011,Africa,Southern Africa,Malawi,Blood
9475_6_69_Mal1029451_2012,1029451,ERR279166,2012,Africa,Southern Africa,Malawi,Blood
9475_6_71_Mal1032168_2012,1032168,ERR279168,2012,Africa,Southern Africa,Malawi,Blood
9475_6_72_MalA55865_2009,A55865,ERR279169,2009,Africa,Southern Africa,Malawi,Blood
9475_6_73_Mal1014152_2011,1014152,ERR279170,2011,Africa,Southern Africa,Malawi,Blood
9475_6_76_Mal1021788_2011,1021788,ERR279173,2011,Africa,Southern Africa,Malawi,Blood
9475_6_77_Mal1028963_2012,1028963,ERR279174,2012,Africa,Southern Africa,Malawi,Blood
9475_6_78_Mal1026460_2012,1026460,ERR279175,2012,Africa,Southern Africa,Malawi,Blood
9475_6_79_Mal1031581_2012,1031581,ERR279176,2012,Africa,Southern Africa,Malawi,Blood
9475_6_80_MalA32420_2004,A32420,ERR279177,2004,Africa,Southern Africa,Malawi,Blood
9475_6_81_MalA33112_2005,A33112,ERR279178,2005,Africa,Southern Africa,Malawi,Blood
9475_6_85_MalA40201_2006,A40201,ERR279182,2006,Africa,Southern Africa,Malawi,Blood
9475_6_90_MalD28995_2005,D28995,ERR279187,2005,Africa,Southern Africa,Malawi,Blood
9475_6_92_MalA39483_2006,A39483,ERR279189,2006,Africa,Southern Africa,Malawi,Blood
9475_6_93_MalA40566_2006,A40566,ERR279190,2006,Africa,Southern Africa,Malawi,Blood
9475_6_94_MalD41342_2007,D41342,ERR279191,2007,Africa,Southern Africa,Malawi,Blood
10607_2_1_Mal1035759_2012,1035759,ERR360793,2012,Africa,Southern Africa,Malawi,Blood
10607_2_2_MalBKQ4CF_2013,BKQ4CF,ERR360794,2013,Africa,Southern Africa,Malawi,Blood
10607_2_3_MalA57501_2010,A57501,ERR360795,2010,Africa,Southern Africa,Malawi,Blood
10607_2_4_MalA58372_2010,A58372,ERR360796,2010,Africa,Southern Africa,Malawi,Blood
10607_2_5_Mal1005624_2010,1005624,ERR360797,2010,Africa,Southern Africa,Malawi,Blood
10607_2_6_Mal1003108_2010,1003108,ERR360798,2010,Africa,Southern Africa,Malawi,Blood
10607_2_7_MalBKQ22S_2012,BKQ22S,ERR360799,2012,Africa,Southern Africa,Malawi,Blood
10607_2_8_Mal1004971_2010,1004971,ERR360800,2010,Africa,Southern Africa,Malawi,Blood
10607_2_9_Mal1006099_2010,1006099,ERR360801,2010,Africa,Southern Africa,Malawi,Blood
10607_2_10_Mal1003117_2010,1003117,ERR360802,2010,Africa,Southern Africa,Malawi,Blood
10607_2_11_MalBKQ1GA_2012,BKQ1GA,ERR360803,2012,Africa,Southern Africa,Malawi,Blood
10607_2_12_Mal1007000_2010,1007000,ERR360804,2010,Africa,Southern Africa,Malawi,Blood
10607_2_13_MalBHA1P5_2012,BHA1P5,ERR360805,2012,Africa,Southern Africa,Malawi,Blood
10607_2_14_MalBKQ2KZ_2012,BKQ2KZ,ERR360806,2012,Africa,Southern Africa,Malawi,Blood
10607_2_15_MalBKQ4SJ_2013,BKQ4SJ,ERR360807,2013,Africa,Southern Africa,Malawi,Blood
10607_2_17_MalBKQ4NZ_2013,BKQ4NZ,ERR360809,2013,Africa,Southern Africa,Malawi,Blood
10607_2_18_MalBKQ2H5_2012,BKQ2H5,ERR360810,2012,Africa,Southern Africa,Malawi,Blood
10607_2_19_MalBHA2HH_2012,BHA2HH,ERR360811,2012,Africa,Southern Africa,Malawi,Blood
10607_2_20_Mal1003078_2010,1003078,ERR360812,2010,Africa,Southern Africa,Malawi,Blood
10607_2_21_MalD56675_2010,D56675,ERR360813,2010,Africa,Southern Africa,Malawi,Blood
10607_2_22_MalA59204_2010,A59204,ERR360814,2010,Africa,Southern Africa,Malawi,Blood
10607_2_23_MalBHA2QL_2013,BHA2QL,ERR360815,2013,Africa,Southern Africa,Malawi,Blood
10607_2_24_MalBKQ4H1_2013,BKQ4H1,ERR360816,2013,Africa,Southern Africa,Malawi,Blood
10607_2_25_Mal1038377_2012,1038377,ERR360817,2012,Africa,Southern Africa,Malawi,Blood
10607_2_26_Mal1037921_2012,1037921,ERR360818,2012,Africa,Southern Africa,Malawi,Blood
10607_2_27_MalBKQ4E3_2013,BKQ4E3,ERR360819,2013,Africa,Southern Africa,Malawi,Blood
10607_2_28_MalD55055_2010,D55055,ERR360820,2010,Africa,Southern Africa,Malawi,Blood
10607_2_29_MalD56393_2010,D56393,ERR360821,2010,Africa,Southern Africa,Malawi,Blood
10607_2_30_MalA58452_2010,A58452,ERR360822,2010,Africa,Southern Africa,Malawi,Blood
10607_2_32_MalA59217_2010,A59217,ERR360824,2010,Africa,Southern Africa,Malawi,Blood
10607_2_33_MalA58450_2010,A58450,ERR360825,2010,Africa,Southern Africa,Malawi,Blood
10607_2_34_MalD54782_2010,D54782,ERR360826,2010,Africa,Southern Africa,Malawi,Blood
10607_2_35_MalBKQ4JU_2013,BKQ4JU,ERR360827,2013,Africa,Southern Africa,Malawi,Blood
10607_2_36_Mal1036491_2012,1036491,ERR360828,2012,Africa,Southern Africa,Malawi,Blood
10607_2_37_Mal1036143_2012,1036143,ERR360829,2012,Africa,Southern Africa,Malawi,Blood
10607_2_38_MalBKQ4D9_2013,BKQ4D9,ERR360830,2013,Africa,Southern Africa,Malawi,Blood
10607_2_40_MalA58390_2010,A58390,ERR360832,2010,Africa,Southern Africa,Malawi,Blood
10607_2_41_MalA59307_2010,A59307,ERR360833,2010,Africa,Southern Africa,Malawi,Blood
10592_2_59_MaliE99-6359_1999,E99-6359  ,ERR360507,1999,Africa,West Africa,Mali,Not provided
10593_2_22_MaliE01-1811_2001,E01-1811  ,ERR360635,2001,Africa,West Africa,Mali,Not provided
10593_2_57_Mali08-10571_2008,08-10571,ERR360670,2008,Africa,West Africa,Mali,Not provided
10593_2_59_MaliE00-3201_2000,E00-3201  ,ERR360672,2000,Africa,West Africa,Mali,Not provided
10592_2_70_MauE98-6926_1998,E98-6926  ,ERR360518,1998,Africa,West Africa,Mauritania,Not provided
10592_2_75_Mau09-5232_2009,09-5232,ERR360523,2009,Africa,West Africa,Mauritania,Not provided
10592_2_39_MorE99-8013_1999,E99-8013  ,ERR360487,1999,Africa,North Africa,Morocco,Not provided
10592_2_51_MorE99-4879_1999,E99-4879  ,ERR360499,1999,Africa,North Africa,Morocco,Not provided
10592_2_54_MorE00-6657_2000,E00-6657  ,ERR360502,2000,Africa,North Africa,Morocco,Not provided
10592_2_74_MorE99-7012_1999,E99-7012  ,ERR360522,1999,Africa,North Africa,Morocco,Not provided
10593_2_6_MorE00-3370_2000,E00-3370  ,ERR360619,2000,Africa,North Africa,Morocco,Not provided
10593_2_9_MorE99-6785_1999,E99-6785  ,ERR360622,1999,Africa,North Africa,Morocco,Not provided
10593_2_43_MorE00-7878_2000,E00-7878  ,ERR360656,2000,Africa,North Africa,Morocco,Not provided
10593_2_45_MorE00-7463_2000,E00-7463  ,ERR360658,2000,Africa,North Africa,Morocco,Not provided
10593_2_13_NigerE99-9082_1999,E99-9082  ,ERR360626,1999,Africa,West Africa,Niger,Not provided
10592_2_69_NigE02-0530_2002,E02-0530  ,ERR360517,2002,Africa,West Africa,Nigeria,Not provided
10592_2_82_Nig09-8993_2009,09-8993,ERR360530,2009,Africa,West Africa,Nigeria,Not provided
10592_2_41_SenE98-2107_1998,E98-2107  ,ERR360489,1998,Africa,West Africa,Senegal,Not provided
