Supplementary Table 1. Isolates used in the study,,,,,,,
,,,,,,,
Name of isolate (tree name),Laboratory number,Accession number,Year of isolation,Continent,Region within continent,Country,Source
10592_2_68_SenE99-1028_1999,E99-1028  ,ERR360516,1999,Africa,West Africa,Senegal,Not provided
10071_3_22_Safr231697_2007,231697,ERR337998,2007,Africa,South Africa,South Africa,Blood
10071_3_23_Safr155749_2006,155749,ERR337999,2006,Africa,South Africa,South Africa,Blood
10071_3_25_Safr175806_2006,175806,ERR338001,2006,Africa,South Africa,South Africa,Blood
10071_3_26_Safr1647901_2005,1647901,ERR338002,2005,Africa,South Africa,South Africa,Blood
10071_3_27_Safr1025041_2004,1025041,ERR338003,2004,Africa,South Africa,South Africa,Blood
10071_3_28_Safr1025617_2004,1025617,ERR338004,2004,Africa,South Africa,South Africa,Blood
10071_3_29_Safr1647624_2005,1647624,ERR338005,2005,Africa,South Africa,South Africa,Blood
10071_3_30_Safr237091_2007,237091,ERR338006,2007,Africa,South Africa,South Africa,Blood
10071_3_31_Safr226195_2007,226195,ERR338007,2007,Africa,South Africa,South Africa,Blood
10071_3_32_Safr206926_2007,206926,ERR338008,2007,Africa,South Africa,South Africa,Blood
10071_3_33_Safr225555_2007,225555,ERR338009,2007,Africa,South Africa,South Africa,Blood
10071_3_34_Safr241451_2008,241451,ERR338010,2008,Africa,South Africa,South Africa,Blood
10071_3_35_Safr238675_2008,238675,ERR338011,2008,Africa,South Africa,South Africa,Blood
10071_3_36_Safr241454_2008,241454,ERR338012,2008,Africa,South Africa,South Africa,Blood
10071_3_37_Safr257401_2008,257401,ERR338013,2008,Africa,South Africa,South Africa,Blood
10071_3_40_Safr141461_2006,141461,ERR338016,2006,Africa,South Africa,South Africa,Blood
10071_3_43_Safr1650362_2005,1650362,ERR338019,2005,Africa,South Africa,South Africa,Blood
10071_3_44_Safr1026656_2004,1026656,ERR338020,2004,Africa,South Africa,South Africa,Blood
10071_3_47_Safr493790_2010,493790,ERR338023,2010,Africa,South Africa,South Africa,Blood
10071_3_49_Safr516981_2010,516981,ERR338025,2010,Africa,South Africa,South Africa,Blood
10071_3_50_Safr474899_2010,474899,ERR338026,2010,Africa,South Africa,South Africa,Blood
10071_3_52_Safr412921_2009,412921,ERR338028,2009,Africa,South Africa,South Africa,Blood
10071_3_53_Safr410378_2009,410378,ERR338029,2009,Africa,South Africa,South Africa,Blood
10071_3_54_Safr410323_2009,410323,ERR338030,2009,Africa,South Africa,South Africa,Blood
10071_3_55_Safr542825_2011,542825,ERR338031,2011,Africa,South Africa,South Africa,Blood
10071_3_56_Safr540614_2011,540614,ERR338032,2011,Africa,South Africa,South Africa,Blood
10071_3_58_Safr583236_2011,583236,ERR338034,2011,Africa,South Africa,South Africa,Blood
10071_3_59_Safr627334_2012,627334,ERR338035,2012,Africa,South Africa,South Africa,Blood
10071_3_60_Safr648212_2012,648212,ERR338036,2012,Africa,South Africa,South Africa,Blood
10071_3_61_Safr639624_2012,639624,ERR338037,2012,Africa,South Africa,South Africa,Blood
10071_3_63_Safr363192_2009,363192,ERR338039,2009,Africa,South Africa,South Africa,Blood
10071_3_64_Safr316083_2009,316083,ERR338040,2009,Africa,South Africa,South Africa,Blood
10071_3_67_Safr338900_2009,338900,ERR338043,2009,Africa,South Africa,South Africa,Blood
10071_3_68_Safr400746_2009,400746,ERR338044,2009,Africa,South Africa,South Africa,Blood
10071_3_70_Safr379905_2009,379905,ERR338046,2009,Africa,South Africa,South Africa,Blood
10071_3_71_Safr634660_2012,634660,ERR338047,2012,Africa,South Africa,South Africa,Blood
10071_3_73_Safr671076_2012,671076,ERR338049,2012,Africa,South Africa,South Africa,Blood
10071_3_51_Safr427489_2010,427489,ERR338027,2010,Africa,South Africa,South Africa,Blood & bone marrow
10071_3_48_Safr520772_2010,520772,ERR338024,2010,Africa,South Africa,South Africa,Breast pus
10071_3_66_Safr325681_2009,325681,ERR338042,2009,Africa,South Africa,South Africa,CSF & Blood
10071_3_65_Safr671445_2012,671445,ERR338041,2012,Africa,South Africa,South Africa,Stool
10541_2_2_SudMDUST111_2008,MDUST111,ERR352942,2008,Africa,North Africa,Sudan,Urine
10562_2_2_SudMDUST112_2008,MDUST112,ERR357757,2008,Africa,North Africa,Sudan,Urine
10060_6_69_Tan60434_2006,60434,ERR331366,2006,Africa,East Africa,Tanzania,Blood
10060_6_71_Tan129-0242-M_2008,129-0242-M,ERR331368,2008,Africa,East Africa,Tanzania,Blood
10060_6_72_Tan129-0289-M_2008,129-0289-M,ERR331369,2008,Africa,East Africa,Tanzania,Blood
10060_6_73_Tan61025_2006,61025,ERR331370,2006,Africa,East Africa,Tanzania,Blood
10060_6_74_Tan63714_2007,63714,ERR331371,2007,Africa,East Africa,Tanzania,Blood
10060_6_75_Tan129-0327-M_2008,129-0327-M,ERR331372,2008,Africa,East Africa,Tanzania,Blood
10060_6_76_Tan129-0177-M_2007,129-0177-M,ERR331373,2007,Africa,East Africa,Tanzania,Blood
10060_6_77_Tan129-0268-M_2008,129-0268-M,ERR331374,2008,Africa,East Africa,Tanzania,Blood
10060_6_78_Tan129-0339-M_2008,129-0339-M,ERR331375,2008,Africa,East Africa,Tanzania,Blood
10060_6_79_Tan129-0303-M_2008,129-0303-M,ERR331376,2008,Africa,East Africa,Tanzania,Blood
10060_6_80_Tan129-0257-M_2008,129-0257-M,ERR331377,2008,Africa,East Africa,Tanzania,Blood
10060_6_81_Tan129-0230-K_2008,129-0230-K,ERR331378,2008,Africa,East Africa,Tanzania,Blood
10060_6_82_Tan129-0254-M_2008,129-0254-M,ERR331379,2008,Africa,East Africa,Tanzania,Blood
10060_6_83_Tan129-0238-M_2008,129-0238-M,ERR331380,2008,Africa,East Africa,Tanzania,Blood
10060_6_84_Tan62717_2006,62717,ERR331381,2006,Africa,East Africa,Tanzania,Blood
7468_7_49_Tan_Zan_IB5335_2009,IB5335,ERR108648,2009,Africa,East Africa,Tanzania,Blood
7468_7_50_Tan_Zan_IB5336_2009,IB5336,ERR108649,2009,Africa,East Africa,Tanzania,Blood
7468_7_53_Tan_Zan_IB5339_2009,IB5339,ERR108652,2009,Africa,East Africa,Tanzania,Blood
7468_7_54_Tan_Zan_IB5340_2009,IB5340,ERR108653,2009,Africa,East Africa,Tanzania,Blood
7468_7_55_Tan_Zan_IB5341_2009,IB5341,ERR108654,2009,Africa,East Africa,Tanzania,Blood
7468_7_56_Tan_Zan_IB5342_2009,IB5342,ERR108655,2009,Africa,East Africa,Tanzania,Blood
7468_7_57_Tan_Zan_IB5343_2009,IB5343,ERR108656,2009,Africa,East Africa,Tanzania,Blood
7468_7_59_Tan_Zan_IB5345_2009,IB5345,ERR108658,2009,Africa,East Africa,Tanzania,Blood
7468_7_60_Tan_Zan_IB5347_2009,IB5347,ERR108659,2009,Africa,East Africa,Tanzania,Blood
7468_7_61_Tan_Zan_IB5348_2009,IB5348,ERR108660,2009,Africa,East Africa,Tanzania,Blood
7468_7_64_Tan_Zan_IB5351_2010,IB5351,ERR108663,2010,Africa,East Africa,Tanzania,Blood
7468_7_65_Tan_Zan_IB5352_2010,IB5352,ERR108664,2010,Africa,East Africa,Tanzania,Blood
7468_7_66_Tan_Zan_IB5353_2010,IB5353,ERR108665,2010,Africa,East Africa,Tanzania,Blood
7468_7_67_Tan_Zan_IB5354_2010,IB5354,ERR108666,2010,Africa,East Africa,Tanzania,Blood
7468_7_68_Tan_Zan_IB5355_2010,IB5355,ERR108667,2010,Africa,East Africa,Tanzania,Blood
7468_7_69_Tan_Zan_IB5356_2010,IB5356,ERR108668,2010,Africa,East Africa,Tanzania,Blood
7468_7_70_Tan_Zan_IB5357_2010,IB5357,ERR108669,2010,Africa,East Africa,Tanzania,Blood
7468_7_71_Tan_Zan_IB5358_2010,IB5358,ERR108670,2010,Africa,East Africa,Tanzania,Blood
7468_7_72_Tan_Zan_IB5359_2010,IB5359,ERR108671,2010,Africa,East Africa,Tanzania,Blood
7468_7_73_Tan_Zan_IB5360_2009,IB5360,ERR108672,2009,Africa,East Africa,Tanzania,Blood
7468_7_77_Tan_Zan_IB5366_2009,IB5366,ERR108676,2009,Africa,East Africa,Tanzania,Blood
7468_7_78_Tan_Zan_IB5367_2009,IB5367,ERR108677,2009,Africa,East Africa,Tanzania,Blood
7468_7_79_Tan_Zan_IB5368_2009,IB5368,ERR108678,2009,Africa,East Africa,Tanzania,Blood
7468_7_80_Tan_Zan_IB5369_2009,IB5369,ERR108679,2009,Africa,East Africa,Tanzania,Blood
7468_7_81_Tan_Zan_IB5370_2010,IB5370,ERR108680,2010,Africa,East Africa,Tanzania,Blood
7468_7_82_Tan_Zan_IB5371_2010,IB5371,ERR108681,2010,Africa,East Africa,Tanzania,Blood
7468_7_85_Tan_Zan_IB5374_2010,IB5374,ERR108684,2010,Africa,East Africa,Tanzania,Blood
7468_7_86_Tan_Zan_IB5375_2010,IB5375,ERR108685,2010,Africa,East Africa,Tanzania,Blood
7468_7_87_Tan_Zan_IB5376_2010,IB5376,ERR108686,2010,Africa,East Africa,Tanzania,Blood
7468_7_88_Tan_Zan_IB5378_2010,IB5378,ERR108687,2010,Africa,East Africa,Tanzania,Blood
7468_7_89_Tan_Zan_IB5379_2010,IB5379,ERR108688,2010,Africa,East Africa,Tanzania,Blood
7468_7_90_Tan_Zan_IB5380_2010,IB5380,ERR108689,2010,Africa,East Africa,Tanzania,Blood
7468_7_91_Tan_Zan_IB5381_2010,IB5381,ERR108690,2010,Africa,East Africa,Tanzania,Blood
7468_7_92_Tan_Zan_IB5382_2010,IB5382,ERR108691,2010,Africa,East Africa,Tanzania,Blood
7468_7_93_Tan_Zan_IB5383_2009,IB5383,ERR108692,2009,Africa,East Africa,Tanzania,Blood
7468_7_94_Tan_Zan_IB5384_2009,IB5384,ERR108693,2009,Africa,East Africa,Tanzania,Blood
7468_7_95_Tan_Zan_IB5385_2010,IB5385,ERR108694,2010,Africa,East Africa,Tanzania,Blood
10593_2_8_Tog04-0339_2004,04-0339,ERR360621,2004,Africa,West Africa,Togo,Not provided
10593_2_69_Tog06-7490_2006,06-7490,ERR360682,2006,Africa,West Africa,Togo,Not provided
10593_2_79_TogE01-7101_2001,E01-7101  ,ERR360692,2001,Africa,West Africa,Togo,Not provided
10593_2_16_Tun69-61_1961,69-61     ,ERR360629,1961,Africa,North Africa,Tunisia,Not provided
10593_2_54_TunE99-5920_1999,E99-5920  ,ERR360667,1999,Africa,North Africa,Tunisia,Not provided
10593_2_81_TunE00-7666_2000,E00-7666  ,ERR360694,2000,Africa,North Africa,Tunisia,Not provided
10493_1_84_AfgMDUST402_2012,MDUST402,ERR352509,2012,Asia,South Asia,Afghanistan,Blood
10592_2_55_ArmE98-11555_1998,E98-11555 ,ERR360503,1998,Asia,Western Asia,Armenia,Not provided
10060_5_87_Ban1102_2011,1102,ERR331290,2011,Asia,South Asia,Bangladesh,Blood
10060_5_88_Ban1154_2011,1154,ERR331291,2011,Asia,South Asia,Bangladesh,Blood
10060_5_89_Ban1404_2011,1404,ERR331292,2011,Asia,South Asia,Bangladesh,Blood
10060_5_90_Ban1499_2011,1499,ERR331293,2011,Asia,South Asia,Bangladesh,Blood
10060_5_91_Ban1553_2011,1553,ERR331294,2011,Asia,South Asia,Bangladesh,Blood
10060_5_92_Ban1607_2011,1607,ERR331295,2011,Asia,South Asia,Bangladesh,Blood
10060_5_93_Ban1703_2008,1703,ERR331296,2008,Asia,South Asia,Bangladesh,Blood
10060_5_94_Ban1707_2012,1707,ERR331297,2012,Asia,South Asia,Bangladesh,Blood
10071_3_1_Ban1738_2012,1738,ERR337977,2012,Asia,South Asia,Bangladesh,Blood
10071_3_2_Ban1877_2012,1877,ERR337978,2012,Asia,South Asia,Bangladesh,Blood
10071_3_3_Ban2181_2012,2181,ERR337979,2012,Asia,South Asia,Bangladesh,Blood
10071_3_5_BanTY019_2012,TY019,ERR337981,2012,Asia,South Asia,Bangladesh,Blood
10071_3_6_BanTY029_2012,TY029,ERR337982,2012,Asia,South Asia,Bangladesh,Blood
10071_3_7_BanTY032_2012,TY032,ERR337983,2012,Asia,South Asia,Bangladesh,Blood
10071_3_8_BanTY053_2012,TY053,ERR337984,2012,Asia,South Asia,Bangladesh,Blood
10071_3_9_BanTY063_2012,TY063,ERR337985,2012,Asia,South Asia,Bangladesh,Blood
10071_3_10_BanTY068_2012,TY068,ERR337986,2012,Asia,South Asia,Bangladesh,Blood
10071_3_11_BanTY107_2012,TY107,ERR337987,2012,Asia,South Asia,Bangladesh,Blood
10071_3_12_BanTY108_2012,TY108,ERR337988,2012,Asia,South Asia,Bangladesh,Blood
10071_3_13_BanTY121_2012,TY121,ERR337989,2012,Asia,South Asia,Bangladesh,Blood
10071_3_14_BanTY132_2012,TY132,ERR337990,2012,Asia,South Asia,Bangladesh,Blood
10071_3_15_BanTY138_2012,TY138,ERR337991,2012,Asia,South Asia,Bangladesh,Blood
10071_3_16_BanTY524_2012,TY524,ERR337992,2012,Asia,South Asia,Bangladesh,Blood
10071_3_17_BanTY529_2012,TY529,ERR337993,2012,Asia,South Asia,Bangladesh,Blood
10071_3_19_BanTY585_2012,TY585,ERR337995,2012,Asia,South Asia,Bangladesh,Blood
10071_3_20_BanTY589_2012,TY589,ERR337996,2012,Asia,South Asia,Bangladesh,Blood
10071_3_21_BanTY647_2012,TY647,ERR337997,2012,Asia,South Asia,Bangladesh,Blood
10492_1_24_BanMDUST196_2011,MDUST196,ERR352277,2011,Asia,South Asia,Bangladesh,Blood
10492_1_37_BanMDUST234_2010,MDUST234,ERR352290,2010,Asia,South Asia,Bangladesh,Blood
10492_1_40_BanMDUST241_2010,MDUST241,ERR352293,2010,Asia,South Asia,Bangladesh,Blood
10492_1_45_BanMDUST252_2010,MDUST252,ERR352298,2010,Asia,South Asia,Bangladesh,Blood
10492_1_51_BanMDUST259_2010,MDUST259,ERR352304,2010,Asia,South Asia,Bangladesh,Blood
10493_1_34_BanMDUST202_2010,MDUST202,ERR352459,2010,Asia,South Asia,Bangladesh,Blood
10493_1_35_BanMDUST203_2010,MDUST203,ERR352460,2010,Asia,South Asia,Bangladesh,Blood
10493_1_36_BanMDUST204_2010,MDUST204,ERR352461,2010,Asia,South Asia,Bangladesh,Blood
10493_1_37_BanMDUST205_2010,MDUST205,ERR352462,2010,Asia,South Asia,Bangladesh,Blood
10493_1_43_BanMDUST232_2010,MDUST232,ERR352468,2010,Asia,South Asia,Bangladesh,Blood
10493_1_83_BanMDUST401_2012,MDUST401,ERR352508,2012,Asia,South Asia,Bangladesh,Blood
10562_2_19_BanMDUST191_2011,MDUST191,ERR357774,2011,Asia,South Asia,Bangladesh,Blood
10562_2_21_BanMDUST193_2011,MDUST193,ERR357776,2011,Asia,South Asia,Bangladesh,Blood
10562_2_22_BanMDUST195_2011,MDUST195,ERR357777,2011,Asia,South Asia,Bangladesh,Blood
10562_2_25_BanMDUST227_2010,MDUST227,ERR357780,2010,Asia,South Asia,Bangladesh,Blood
10562_2_27_BanMDUST230_2010,MDUST230,ERR357782,2010,Asia,South Asia,Bangladesh,Blood
10562_2_37_BanMDUST263_2011,MDUST263,ERR357792,2011,Asia,South Asia,Bangladesh,Blood
10592_2_78_Ban07-5320_2007,07-5320,ERR360526,2007,Asia,South Asia,Bangladesh,Not provided
10592_2_80_BanE03-6418_2003,E03-6418  ,ERR360528,2003,Asia,South Asia,Bangladesh,Not provided
10593_2_49_BanE00-5869_2000,E00-5869  ,ERR360662,2000,Asia,South Asia,Bangladesh,Not provided
10492_1_50_BanMDUST258_2010,MDUST258,ERR352303,2010,Asia,South Asia,Bangladesh,Stool
10492_1_55_BanMDUST270_2011,MDUST270,ERR352308,2011,Asia,South Asia,Bangladesh,Stool
10562_2_73_BanMDUST390_2011,MDUST390,ERR357828,2011,Asia,South Asia,Bangladesh,Stool
10492_1_26_BurMDUST198_2010,MDUST198,ERR352279,2010,Asia,Southeast Asia,Myanmar,Blood
10492_1_10_BurMDUST139_2012,MDUST139,ERR352263,2012,Asia,Southeast Asia,Myanmar,Stool
10541_2_4_BurMDUST138_2012,MDUST138,ERR357441,2012,Asia,Southeast Asia,Myanmar,Stool
10562_2_69_BurMDUST379_2011,MDUST379,ERR357824,2011,Asia,Southeast Asia,Myanmar,Stool
10060_5_2_Cam003680_2012,2008-003680,ERR331205,2012,Asia,Southeast Asia,Cambodia,Blood
10060_5_3_Cam002432_2012,01-2011-002432,ERR331206,2012,Asia,Southeast Asia,Cambodia,Blood
10060_5_4_Cam019648_2012,2007-019648,ERR331207,2012,Asia,Southeast Asia,Cambodia,Blood
10060_5_5_Cam010389_2012,2012-010389,ERR331208,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_1_Cam001909_2008,2008-001909,ERR319402,2008,Asia,Southeast Asia,Cambodia,Blood
9870_8_2_Cam002399_2008,2008-002399,ERR319403,2008,Asia,Southeast Asia,Cambodia,Blood
9870_8_3_Cam003956_2008,2008-003956,ERR319404,2008,Asia,Southeast Asia,Cambodia,Blood
9870_8_4_Cam004254_2008,2008-004254,ERR319405,2008,Asia,Southeast Asia,Cambodia,Blood
9870_8_5_Cam216507_2008,2002-216507,ERR319406,2008,Asia,Southeast Asia,Cambodia,Blood
9870_8_7_Cam016955_2008,2003-016955,ERR319408,2008,Asia,Southeast Asia,Cambodia,Blood
9870_8_8_Cam006312_2008,2008-006312,ERR319409,2008,Asia,Southeast Asia,Cambodia,Blood
9870_8_9_Cam008425_2008,2005-008425,ERR319410,2008,Asia,Southeast Asia,Cambodia,Blood
9870_8_10_Cam006300_2008,2008-006300,ERR319411,2008,Asia,Southeast Asia,Cambodia,Blood
9870_8_11_Cam000156_2009,2009-000156,ERR319412,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_12_Cam000892_2009,2009-000892,ERR319413,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_13_Cam002960_2009,2008-002960,ERR319414,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_14_Cam004002_2009,2009-004002,ERR319415,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_15_Cam006046_2009,2009-006046,ERR319416,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_16_Cam007146_2009,2009-007146,ERR319417,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_17_Cam010587_2009,2005-010587,ERR319418,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_18_Cam008924_2009,2003-008924,ERR319419,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_19_Cam011935_2009,2009-011935,ERR319420,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_20_Cam012898_2009,2009-012898,ERR319421,2009,Asia,Southeast Asia,Cambodia,Blood
9870_8_21_Cam005196_2010,2010-005196,ERR319422,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_22_Cam011361_2010,2010-011361,ERR319423,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_23_Cam005872_2010,2010-005872,ERR319424,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_24_Cam011021_2010,2006-011021,ERR319425,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_25_Cam006551_2010,2010-006551,ERR319426,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_26_Cam013365_2010,2007-013365,ERR319427,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_27_Cam006866_2010,2010-006866,ERR319428,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_28_Cam012990_2010,2007-012990,ERR319429,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_30_Cam100510_2010,2001-100510,ERR319431,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_31_Cam007898_2010,2010-007898,ERR319432,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_32_Cam008154_2010,2010-008154,ERR319433,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_33_Cam007462_2010,2010-007462,ERR319434,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_34_Cam002605_2010,2010-002605,ERR319435,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_35_Cam009987_2010,2010-009987,ERR319436,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_36_Cam010162_2010,2010-010162,ERR319437,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_37_Cam002948_2010,2010-002948,ERR319438,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_38_Cam010972_2010,2010-010972,ERR319439,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_39_Cam011187_2010,2010-011187,ERR319440,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_40_Cam011712_2010,2010-011712,ERR319441,2010,Asia,Southeast Asia,Cambodia,Blood
9870_8_41_Cam000112_2011,01-2011-000112,ERR319442,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_42_Cam000483_2011,01-2011-000483,ERR319443,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_43_Cam009945_2011,2005-009945,ERR319444,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_44_Cam021515_2011,2007-021515,ERR319445,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_45_Cam007642_2011,2006-007642,ERR319446,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_46_Cam216622_2011,2002-216622,ERR319447,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_47_Cam004004_2011,2010-004004,ERR319448,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_48_Cam004103_2011,01-2010-004103,ERR319449,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_49_Cam000113_2011,01-2011-000113,ERR319450,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_50_Cam000309_2011,01-2011-000309,ERR319451,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_51_Cam021566_2011,2010-021566,ERR319452,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_52_Cam007445_2011,2011-007445,ERR319453,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_53_Cam011215_2011,2005-011215,ERR319454,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_54_Cam000374_2011,2009-000374,ERR319455,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_55_Cam001522_2011,01-2011-001522,ERR319456,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_56_Cam007660_2011,2011-007660,ERR319457,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_57_Cam007792_2011,2011-007792,ERR319458,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_58_Cam007930_2011,2011-007930,ERR319459,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_59_Cam008616_2011,2006-008616,ERR319460,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_60_Cam015726_2011,2007-015726,ERR319461,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_61_Cam1325_2011,BC2011-1325,ERR319462,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_62_Cam1311_2011,BC2011-1311,ERR319463,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_63_Cam1307_2011,BC2011-1307,ERR319464,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_64_Cam1305_2011,BC2011-1305,ERR319465,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_65_Cam1457_2011,BC20111457,ERR319466,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_66_Cam1461_2011,BC2011-1461,ERR319467,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_67_Cam1534_2011,BC2011-1534,ERR319468,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_68_Cam1612_2011,BC2011-1612,ERR319469,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_69_Cam1683_2011,BC2011-1683,ERR319470,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_70_Cam1739_2011,BC2011-1739,ERR319471,2011,Asia,Southeast Asia,Cambodia,Blood
9870_8_71_Cam018938_2012,2011-018938,ERR319472,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_73_Cam002043_2012,01-2010-002043,ERR319474,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_74_Cam001846_2012,01-2012-001846,ERR319475,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_75_Cam007197_2012,2012-007197,ERR319476,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_76_Cam002175_2012,01-2012-002175,ERR319477,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_77_Cam008606_2012,2012-008606,ERR319478,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_78_Cam009077_2012,2012-009077,ERR319479,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_79_Cam002473_2012,01-2012-002473,ERR319480,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_80_Cam005183_2012,01-2010-005183,ERR319481,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_81_Cam002529_2012,01-2012-002529,ERR319482,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_82_Cam014301_2012,2006-014301,ERR319483,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_83_Cam009618_2012,2012-009618,ERR319484,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_84_Cam017452_2012,2008-017452,ERR319485,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_85_Cam010059_2012,2012-010059,ERR319486,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_86_Cam010060_2012,2012-010060,ERR319487,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_87_Cam002669_2012,01-2012-002669,ERR319488,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_88_Cam006045_2012,2010-006045,ERR319489,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_89_Cam002666_2012,01-2012-002666,ERR319490,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_91_Cam009913_2012,2012-009913,ERR319492,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_93_Cam010317_2012,2005-010317,ERR319494,2012,Asia,Southeast Asia,Cambodia,Blood
9870_8_94_Cam010406_2012,2012-010406,ERR319495,2012,Asia,Southeast Asia,Cambodia,Blood
10209_5_1_Cam001525_2007,2007-001525,ERR340757,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_2_Cam001619_2007,2007-001619,ERR340758,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_3_Cam102645_2007,2001-102645,ERR340759,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_4_Cam003270_2007,2007-003270,ERR340760,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_5_Cam006110_2007,2007-006110,ERR340761,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_7_Cam005516_2007,2007-005516,ERR340763,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_9_Cam007073_2007,2007-007073,ERR340765,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_10_Cam007506_2007,2007-007506,ERR340766,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_11_Cam006685_2008,2008-006685,ERR340767,2008,Asia,Southeast Asia,Cambodia,Blood
10209_5_12_Cam011815_2007,2007-011815,ERR340768,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_13_Cam100239_2007,2001-100239,ERR340769,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_14_Cam015823_2007,2007-015823,ERR340770,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_15_Cam023117_2007,2007-023117,ERR340771,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_16_Cam024445_2007,2007-024445,ERR340772,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_17_Cam023116_2007,2007-023116,ERR340773,2007,Asia,Southeast Asia,Cambodia,Blood
